case-sensitive code,name (display),category,synonyms,LOINC property,Guidance,source
kcal/kg/(24.h),kilocalorie per kilogram per 24 hour,Clinical,kcal/kg/24hrs; 24 hrs; kcal per kg per 24hrs; kilocalories per kilograms per 24 hours; kilojoules,EngCntRat,used in nutrition to represent caloric requirement per day based on subject's body weight in kilograms,LOINC
kg,kilogram,Clinical,kilograms; kgs,Mass,,LOINC
kg.m/s,kilogram meter per second,Clinical,kg*m/s; kg.m per sec; kg*m per sec; p; momentum,,unit for momentum =  mass times velocity,LOINC
kg/(s.m2),kilogram per second per square meter,Clinical,kg/(s*m2); kg/(s*m^2); kg per s per m2; per sec; per m^2; kilograms per seconds per square meter; meter squared; metre,ArMRat,,LOINC
kg/h,kilogram per hour,Clinical,kg/hr; kg per hr; kilograms per hour,MRat,,LOINC
kg/L,kilogram per liter,Clinical,kg per liter; litre; kilograms,MCnc,,LOINC
kg/m2,kilogram per square meter,Clinical,kg/m^2; kg/sq. m; kg per m2; per m^2; per sq. m; kilograms; meter squared; metre; BMI,Ratio,units for body mass index (BMI),LOINC
kg/m3,kilogram per cubic meter,Clinical,kg/m^3; kg/cu. m; kg per m3; per m^3; per cu. m; kilograms; meters cubed; metre,MCnc,,LOINC
kg/min,kilogram per minute,Clinical,kilogram/minute; kg per min; kilograms per minute,MRat,,LOINC
kg/mol,kilogram per mole,Clinical,kilogram/mole; kg per mol; kilograms per mole,SCnt,,LOINC
kg/s,kilogram per second,Clinical,kg/sec; kilogram/second; kg per sec; kilograms; second,MRat,,LOINC
kL,kiloliter,Clinical,kiloliters; kilolitres; m3; m^3; meters cubed; metre,Vol,,LOINC
km,kilometer,Clinical,kilometers; kilometres; distance,Len,,LOINC
kPa,kilopascal,Clinical,kilopascals; pressure,Pres; PPresDiff,,LOINC
ks,kilosecond,Clinical,kiloseconds; ksec,Time,,LOINC
kU,kilo enzyme unit,Clinical,units; mmol/min; millimoles per minute,CAct,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 kU = 1 mmol/min,LOINC
kU/g,kilo enzyme unit per gram,Clinical,units per grams; kU per gm,CCnt,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 kU = 1 mmol/min,LOINC
kU/L,kilo enzyme unit per liter,Clinical,units per liter; litre; enzymatic activity; enzyme activity per volume; activities,ACnc; CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 kU = 1 mmol/min,LOINC
kU/mL,kilo enzyme unit per milliliter,Clinical,kU per mL; units per milliliter; millilitre; enzymatic activity per volume; enzyme activities,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 kU = 1 mmol/min,LOINC
Ky,Kayser,Clinical,wavenumbers; kaysers,InvLen,unit of wavelength equal to cm^-1,UCUM
l,Liters,Clinical,"cubic decimeters; decimeters cubed; decimetres; dm3; dm^3; litres; liters, LT
",Vol,"Because lower case ""l"" can be read as the number ""1"", though this is a valid UCUM units. UCUM strongly reccomends using  ""L""",UCUM
L,Liters,Clinical,"cubic decimeters; decimeters cubed; decimetres; dm3; dm^3; litres; liters, LT
",Vol,"Because lower case ""l"" can be read as the number ""1"", though this is a valid UCUM units. UCUM strongly reccomends using  ""L""",UCUM
L/(24.h),Liters per 24 hour,Clinical,L/24hrs; L/24 hrs; L per 24hrs; liters per 24 hours; day; dy; litres; volume flow rate,VRat,,LOINC
L/(8.h),Liters per 8 hour,Clinical,L/8hrs; L/8 hrs; L per 8hrs; liters per 8 hours; litres; volume flow rate; shift,VRat,,LOINC
L/(min.m2) ,Liters per minute per square meter,Clinical,L/(min.m2); L/min/m^2; L/min/sq. meter; L per min per m2; m^2; liters per minutes per square meter; meter squared; litres; metre ,ArVRat,unit for tests that measure cardiac output per body surface area (cardiac index),LOINC
L/d,Liters per day,Clinical,L/dy; L per day; 24hrs; 24 hrs; 24 hours; liters; litres,VRat,,LOINC
L/h,Liters per hour,Clinical,L/hr; L per hr; litres,VRat,,LOINC
L/kg,Liters per kilogram,Clinical,L per kg; litre,VCnt,,LOINC
L/L,Liters per liter,Clinical,L per L; liter/liter; litre,VFr,,LOINC
L/min,Liters per minute,Clinical,liters per minute; litre,VRat,,LOINC
L/min/m2,Liters per minute per square meter,Clinical,L/(min.m2); L/min/m^2; L/min/sq. meter; L per min per m2; m^2; liters per minutes per square meter; meter squared; litres; metre ,ArVRat,unit for tests that measure cardiac output per body surface area (cardiac index),
L/s,Liters per second,Clinical,L per sec; litres,VRat,unit used often to measure gas flow and peak expiratory flow,LOINC
L/s/s2,Liters per second per square second,Clinical,L/s/s^2; L/sec/sec2; L/sec/sec^2; L/sec/sq. sec; L per s per s2; L per sec per sec2; s^2; sec^2; liters per seconds per square second; second squared; litres ,ArVRat,unit for tests that measure cardiac output/body surface area,LOINC
lm,lumen,Clinical,luminous flux; lumens,,unit of luminous flux defined as 1 lm = 1 cd⋅sr (candela times sphere),UCUM
lm.m2,lumen square meter,Clinical,lm*m2; lm*m^2; lumen meters squared; lumen sq. meters; metres,,,LOINC
Lmb,Lambert,Clinical,luminance; lamberts,,unit of luminance defined as 1 lambert = 1/ π candela per square meter,UCUM
lx,lux,Clinical,illuminance; luxes,,unit of illuminance equal to one lumen per square meter. ,UCUM
m,meter,Clinical,meters; metres; distance,Len,unit of length = 1.09361 yards,UCUM
m/s,meter per second,Clinical,meter/second; m per sec; meters per second; metres; velocity; speed,Vel,unit of velocity,LOINC
m/s2,meter per square second,Clinical,m/s^2; m/sq. sec; m per s2; per s^2; meters per square second; second squared; sq second; metres; acceleration,Accel,unit of acceleration,LOINC
m[H2O],meter of water column,Clinical,mH2O; m H2O; meters of water column; metres; pressure,Pres,,UCUM
m[Hg],meter of mercury column,Clinical,mHg; m Hg; meters of mercury column; metres; pressure,Pres,,UCUM
m[IU]/L,milli international unit per liter,Clinical,mIU/L; m IU/L; mIU per liter; units; litre,ACnc,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
m[IU]/mL,milli  international unit per milliliter,Clinical,mIU/mL; m IU/mL; mIU per mL; milli international units per milliliter; millilitre,ACnc,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
m2,square meter,Clinical,m^2; sq m; square meters; meters squared; metres,Area,unit often used to represent body surface area,LOINC
m2/s,square meter per second,Clinical,m^2/sec; m2 per sec; m^2 per sec; sq m/sec; meters squared/seconds; sq m per sec; meters squared; metres,ArRat,,LOINC
m3/s,cubic meter per second,Clinical,m^3/sec; m3 per sec; m^3 per sec; cu m/sec; cubic meters per seconds; meters cubed; metres,VRat,,LOINC
mA,milliampere,Clinical,mamp; milliamperes,ElpotRat,unit of electric current,LOINC
mbar,millibar,Clinical,millibars,Pres,unit of pressure,LOINC
mbar.s/L,millibar second per liter,Clinical,mbar*s/L; mbar.s per L; mbar*s per L; millibar seconds per liter; millibar second per litre,,unit to measure expiratory resistance,LOINC
mbar/L/s,millibar per liter per second,Clinical,mbar/(L.s); mbar/L/sec; mbar/liter/second;  mbar per L per sec; mbar per liter per second; millibars per liters per seconds; litres,PresCncRat,unit to measure expiratory resistance,LOINC
meq,milliequivalent,Clinical,milliequivalents; meqs,Sub,equivalence equals moles per valence,LOINC
meq/(2.h),milliequivalent per 2 hour,Clinical,meq/2hrs; meq/2 hrs; meq per 2 hrs; milliequivalents per 2 hours,SRat,equivalence equals moles per valence,LOINC
meq/(24.h),milliequivalent per 24 hour,Clinical,meq/24hrs; meq/24 hrs; meq per 24 hrs; milliequivalents per 24 hours,SRat,equivalence equals moles per valence,LOINC
meq/(8.h),milliequivalent per 8 hour,Clinical,meq/8hrs; meq/8 hrs; meq per 8 hrs; milliequivalents per 8 hours; shift,SRat,equivalence equals moles per valence,LOINC
meq/d,milliequivalent per day,Clinical,meq/dy; meq per day; milliquivalents per days; meq/24hrs; meq/24 hrs; meq per 24 hrs; milliequivalents per 24 hours,SRat,equivalence equals moles per valence,LOINC
meq/dL,milliequivalent per deciliter,Clinical,meq per dL; milliequivalents per deciliter; decilitre,SCnc,equivalence equals moles per valence,LOINC
meq/g,milliequivalent per gram,Clinical,mgq/gm; meq per gm; milliequivalents per gram,MCnt,equivalence equals moles per valence,LOINC
meq/h,milliequivalent per hour,Clinical,meq/hrs; meq per hrs; milliequivalents per hour,SRat,equivalence equals moles per valence,LOINC
meq/kg,milliequivalent per kilogram,Clinical,meq per kg; milliequivalents per kilogram,SCnt,equivalence equals moles per valence; used to measure dose per patient body mass,LOINC
meq/kg/h,milliequivalent per kilogram per hour,Clinical,meq/(kg.h); meq/kg/hr; meq per kg per hr; milliequivalents per kilograms per hour,SCntRat,equivalence equals moles per valence; unit used to measure dose rate per patient body mass,LOINC
meq/L,milliequivalent per liter,Clinical,milliequivalents per liter; litre; meq per l; acidity,SCnc,equivalence equals moles per valence,LOINC
meq/m2,milliequivalent per square meter,Clinical,meq/m^2; meq/sq. m; milliequivalents per square meter; meter squared; metre,ArSub,equivalence equals moles per valence; note that the use of m2 in clinical units ofter refers to body surface area,LOINC
meq/min,milliequivalent per minute,Clinical,meq per min; milliequivalents per minute,SRat,equivalence equals moles per valence,LOINC
meq/mL,milliequivalent per milliliter,Clinical,meq per mL; milliequivalents per milliliter; millilitre,SCnc,equivalence equals moles per valence,LOINC
mg,milligram,Clinical,milligrams,Mass,,LOINC
mg/(10.h),milligram per 10 hour,Clinical,mg/10hrs; mg/10 hrs; mg per 10 hrs; milligrams per 10 hours,MRat,,LOINC
mg/(12.h),milligram per 12 hour,Clinical,mg/12hrs; mg/12 hrs; per 12 hrs; 12hrs; milligrams per 12 hours,MRat,units used for tests in urine,LOINC
mg/(2.h),milligram per 2 hour,Clinical,mg/2hrs; mg/2 hrs; mg per 2 hrs; 2hrs; milligrams per 2 hours,MRat,units used for tests in urine,LOINC
mg/(24.h),milligram per 24 hour,Clinical,mg/24hrs; mg/24 hrs; milligrams per 24 hours; mg/kg/dy; mg per kg per day; milligrams per kilograms per days,MRat,,LOINC
mg/(6.h),milligram per 6 hour,Clinical,mg/6hrs; mg/6 hrs; mg per 6 hrs; 6hrs; milligrams per 6 hours,MRat,,LOINC
mg/(72.h),milligram per 72 hour,Clinical,mg/72hrs;  mg/72 hrs; 72 hrs; 72hrs; milligrams per 72 hours,MRat,,LOINC
mg/(8.h),milligram per 8 hour,Clinical,mg/8hrs; mg/8 hrs; milligrams per 8 hours; shift,MRat,,LOINC
mg/d,milligram per day,Clinical,mg/24hrs; mg/24 hrs; milligrams per 24 hours; mg/dy; mg per day; milligrams,MRat,,LOINC
mg/dL,milligram per deciliter,Clinical,mg per dL; milligrams per deciliter; decilitre,MCnc,,LOINC
mg/g,milligram per gram,Clinical,mg per gm; milligrams per gram,MCnt; MRto,,LOINC
mg/h,milligram per hour,Clinical,mg/hr; mg per hr; milligrams,MRat,,LOINC
mg/kg,milligram per kilogram,Clinical,mg per kg; milligrams per kilograms,MCnt,,LOINC
mg/kg/(8.h),milligram per kilogram per 8 hour,Clinical,mg/(8.h.kg); mg/kg/8hrs; mg/kg/8 hrs; mg per kg per 8hrs; 8 hrs; milligrams per kilograms per 8 hours; shift,RelMRat; MCntRat,unit used to measure mass dose rate per patient body mass,LOINC
mg/kg/d,milligram per kilogram per day,Clinical,mg/(kg.d); mg/(kg.24.h)mg/kg/dy; mg per kg per day; milligrams per kilograms per days; mg/kg/(24.h); mg/kg/24hrs; 24 hrs; 24 hours,RelMRat ,unit used to measure mass dose rate per patient body mass,LOINC
mg/kg/h,milligram per kilogram per hour,Clinical,mg/(kg.h); mg/kg/hr; mg per kg per hr; milligrams per kilograms per hour,RelMRat; MCntRat,unit used to measure mass dose rate per patient body mass,LOINC
mg/kg/min,milligram per kilogram per minute,Clinical,mg/(kg.min); mg per kg per min; milligrams per kilograms per minute,RelMRat; MCntRat,unit used to measure mass dose rate per patient body mass,LOINC
mg/L,milligram per liter,Clinical,mg per l; milligrams per liter; litre,MCnc,,LOINC
mg/m2,milligram per square meter,Clinical,mg/m^2; mg/sq. m; mg per m2; mg per m^2; mg per sq. milligrams; meter squared; metre,ArMass,,LOINC
mg/m3,milligram per cubic meter,Clinical,mg/m^3; mg/cu. m; mg per m3; milligrams per cubic meter; meter cubed; metre,MCnc,,LOINC
mg/mg,milligram per milligram,Clinical,mg per mg; milligrams; milligram/milligram,MRto,,LOINC
mg/min,milligram per minute,Clinical,mg per min; milligrams per minutes; milligram/minute,MRat,,LOINC
mg/mL,milligram per milliliter,Clinical,mg per mL; milligrams per milliliters; millilitre,MCnc,,LOINC
mg/mmol,milligram per millimole,Clinical,mg per mmol; milligrams per millimole; ,Ratio,,LOINC
mg/wk,milligram per week,Clinical,mg/week; mg per wk; milligrams per weeks; milligram/week,Mrat,,LOINC
mho,mho,Obsolete,siemens; ohm reciprocals; Ω^−1; Ω-1 ,,unit of electric conductance (the inverse of electrical resistance) equal to ohm^-1,UCUM
min,minute,Clinical,minutes,Time,,UCUM
mL,milliliter,Clinical,milliliters; millilitres,Vol,,LOINC
mL/(10.h),milliliter per 10 hour,Clinical,ml/10hrs; ml/10 hrs; mL per 10hrs; 10 hrs; milliliters per 10 hours; millilitres,VRat,,LOINC
mL/(12.h),milliliter per 12 hour,Clinical,ml/12hrs; ml/12 hrs; mL per 12hrs; 12 hrs; milliliters per 12 hours; millilitres,VRat,,LOINC
mL/(2.h),milliliter per 2 hour,Clinical,ml/2hrs; ml/2 hrs; mL per 2hrs; 2 hrs; milliliters per 2 hours; millilitres ,VRat,,LOINC
mL/(24.h),milliliter per 24 hour,Clinical,ml/24hrs; ml/24 hrs; mL per 24hrs; 24 hrs; milliliters per 24 hours; millilitres; ml/dy; /day; ml per dy; days; fluid outputs; fluid inputs; flow rate,VRat,,LOINC
mL/(4.h),milliliter per 4 hour,Clinical,ml/4hrs; ml/4 hrs; mL per 4hrs; 4 hrs; milliliters per 4 hours; millilitres,VRat,,LOINC
mL/(5.h),milliliter per 5 hour,Clinical,ml/5hrs; ml/5 hrs; mL per 5hrs; 5 hrs; milliliters per 5 hours; millilitres,VRat,,LOINC
mL/(6.h),milliliter per 6 hour,Clinical,ml/6hrs; ml/6 hrs; mL per 6hrs; 6 hrs; milliliters per 6 hours; millilitres,VRat,,LOINC
mL/(72.h),milliliter per 72 hour,Clinical,ml/72hrs; ml/72 hrs; mL per 72hrs; 72 hrs; milliliters per 72 hours; millilitres,VRat,,LOINC
mL/(8.h),milliliter per 8 hour,Clinical,ml/8hrs; ml/8 hrs; mL per 8hrs; 8 hrs; milliliters per 8 hours; millilitres; shift,VRat,,LOINC
mL/(8.h)/kg,milliliter per 8 hour per kilogram,Clinical,mL/kg/(8.h); ml/8h/kg; ml/8 h/kg; ml/8hr/kg; ml/8 hr/kgr; mL per 8h per kg; 8 h; 8hr; 8 hr; milliliters per 8 hours per kilogram; millilitres; shift,VRatCnt,unit used to measure renal excretion volume rate per body mass,LOINC
mL/[sin_i],milliliter per square inch (international),Clinical,mL/sin; mL/in2; mL/in^2; mL per sin; in2; in^2; sq. in; milliliters per square inch; inch squared,ArVol,,LOINC
mL/cm[H2O],milliliter per centimeter of water,Clinical,milliliters per centimeter of water; millilitre per centimetre of water; millilitres per centimetre of water; mL/cmH2O; mL/cm H2O; mL per cmH2O; mL per cm H2O,Compli,unit used to measure dynamic lung compliance,LOINC
mL/d,milliliter per day,Clinical,ml/day; ml per day; milliliters per day; 24 hours; 24hrs; millilitre;,VRat,usually used to measure fluid output or input; flow rate,LOINC
mL/dL,milliliter per deciliter,Clinical,mL per dL; millilitres; decilitre; milliliters,VFr; VFrDiff,,LOINC
mL/h,milliliter per hour,Clinical,mL/hr; mL per hr; milliliters per hour; millilitres; fluid intake; fluid output,VRat,,LOINC
mL/kg,milliliter per kilogram,Clinical,mL per kg; milliliters per kilogram; millilitres,VCnt,,LOINC
mL/kg/(8.h),milliliter per kilogram per 8 hour,Clinical,mL/(8.h.kg); mL/kg/8hrs; mL/kg/8 hrs; mL per kg per 8hrs; 8 hrs; milliliters per kilograms per 8 hours; millilitres; shift,VCntRat; RelEngRat,unit used to measure renal excretion volume rate per body mass,LOINC
mL/kg/d,milliliter per kilogram per day,Clinical,mL/(kg.d); mL/kg/dy; mL per kg per day; milliliters per kilograms per day; mg/kg/24hrs; 24 hrs; per 24 hours millilitres,VCntRat; RelEngRat,unit used to measure renal excretion volume rate per body mass,LOINC
mL/kg/h,milliliter per kilogram per hour,Clinical,mL/(kg.h); mL/kg/hr; mL per kg per hr; milliliters per kilograms per hour; millilitres,VCntRat; RelEngRat,unit used to measure renal excretion volume rate per body mass,LOINC
mL/kg/min,milliliter per kilogram per minute,Clinical,mL/(kg.min); mL/kg/dy; mL per kg per day; milliliters per kilograms per day; millilitres,RelEngRat,used for tests that measure activity metabolic rate compared to standard resting metabolic rate ,LOINC
mL/m2,milliliter per square meter,Clinical,mL/m^2; mL/sq. meter; mL per m2; m^2; sq. meter; milliliters per square meter; millilitres; meter squared,ArVol,used for tests that relate to heart work - e.g. ventricular stroke volume; atrial volume per body surface area,LOINC
mL/mbar,milliliter per millibar,Clinical,mL per mbar; milliliters per millibar; millilitres,,unit used to measure dynamic lung compliance,LOINC
mL/min,milliliter per minute,Clinical,mL per min; milliliters; millilitres,VRat,,LOINC
mL/min/m2,milliliter per minute per square meter,Clinical,ml/min/m^2; ml/min/sq. meter; mL per min per m2; m^2; sq. meter; milliliters per minutes per square meter; millilitres; metre; meter squared,ArVRat,unit used to measure volume per body surface area; oxygen consumption index,LOINC
mL/mm,milliliter per millimeter,Clinical,mL per mm; milliliters per millimeter; millilitres; millimetre,Lineic Volume,,LOINC
mL/s,milliliter per second,Clinical,ml/sec; mL per sec; milliliters per second; millilitres,Vel; VelRat; VRat,,LOINC
mm,millimeter,Clinical,millimeters; millimetres; height; length; diameter; thickness; axis; curvature; size,Len,,LOINC
mm/h,millimeter per hour,Clinical,mm/hr; mm per hr; millimeters per hour; millimetres,Vel,unit to measure sedimentation rate,LOINC
mm/min,millimeter per minute,Clinical,mm per min; millimeters per minute; millimetres,Vel,,LOINC
mm[H2O],millimeter of water,Clinical,mmH2O; mm H2O; millimeters of water; millimetres,Pres,,LOINC
mm[Hg],millimeter of mercury,Clinical,mmHg; mm Hg; millimeters of mercury; millimetres,Pres; PPres; Ratio,1 mm[Hg] = 1 torr; unit to measure blood pressure,LOINC
mm2,square millimeter,Clinical,mm^2; sq. mm.; sq. millimeters; millimeters squared; millimetres,Area,,LOINC
mmol,millimole,Clinical,millimoles,Sub,,LOINC
mmol/(12.h),millimole per 12 hour,Clinical,mmol/12hrs; mmol/12 hrs; mmol per 12 hrs; 12hrs; millimoles per 12 hours,SRat,unit for tests related to urine,LOINC
mmol/(2.h),millimole per 2 hour,Clinical,mmol/2hrs; mmol/2 hrs; mmol per 2 hrs; 2hrs; millimoles per 2 hours,SRat,unit for tests related to urine,LOINC
mmol/(24.h),millimole per 24 hour,Clinical,mmol/24hrs; mmol/24 hrs; mmol per 24 hrs; 24hrs; millimoles per 24 hours,SRat,,LOINC
mmol/(5.h),millimole per 5 hour,Clinical,mmol/5hrs; mmol/5 hrs; mmol per 5 hrs; 5hrs; millimoles per 5 hours,SRat,unit for tests related to doses,LOINC
mmol/(6.h),millimole per 6 hour,Clinical,mmol/6hrs; mmol/6 hrs; mmol per 6 hrs; 6hrs; millimoles per 6 hours,SRat,unit for tests related to urine,LOINC
mmol/(8.h),millimole per 8 hour,Clinical,mmol/8hrs; mmol/8 hrs; mmol per 8 hrs; 8hrs; millimoles per 8 hours; shift,SRat,,LOINC
mmol/d,millimole per day,Clinical,mmol/24hrs; mmol/24 hrs; mmol per 24 hrs; 24hrs; millimoles per 24 hours,SRat,,LOINC
mmol/dL,millimole per deciliter,Clinical,mmol per dL; millimoles; decilitre,SCnc,,LOINC
mmol/g,millimole per gram,Clinical,mmol per gram; millimoles,SCnt,,LOINC
mmol/h,millimole per hour,Clinical,mmol/hr; mmol per hr; millimoles per hour,SRat,unit for tests related to urine,LOINC
mmol/kg,millimole per kilogram,Clinical,mmol per kg; millimoles per kilogram,SCnt,unit for tests related to stool,LOINC
mmol/kg/(8.h),millimole per kilogram per 8 hour,Clinical,mmol/(8.h.kg); mmol/kg/8hrs; mmol/kg/8 hrs; mmol per kg per 8hrs; 8 hrs; millimoles per kilograms per 8 hours; shift,CCnt,unit used to measure molar dose rate per patient body mass,LOINC
mmol/kg/d,millimole per kilogram per day,Clinical,mmol/kg/dy; mmol/kg/day; mmol per kg per dy; millimoles per kilograms per day,RelSRat,unit used to measure molar dose rate per patient body mass,LOINC
mmol/kg/h,millimole per kilogram per hour,Clinical,mmol/kg/hr; mmol per kg per hr; millimoles per kilograms per hour,CCnt,unit used to measure molar dose rate per patient body mass,LOINC
mmol/kg/min,millimole per kilogram per minute,Clinical,mmol/(kg.min); mmol/kg/min; mmol per kg per min; millimoles per kilograms per minute,CCnt,unit used to measure molar dose rate per patient body mass; note that the unit for the enzyme unit U = umol/min. mmol/kg/min = kU/kg; ,LOINC
mmol/L,millimole per liter,Clinical,mmol per L; millimoles per liter; litre,SCnc,unit for tests related to doses,LOINC
mmol/m2,millimole per square meter,Clinical,mmol/m^2; mmol/sq. meter;  mmol per m2; m^2; sq. meter; millimoles; meter squared; metre,ArSub,unit used to measure molar dose per patient body surface area,LOINC
mmol/min,millimole per minute,Clinical,mmol per min; millimoles per minute,Srat; CAct,unit for the enzyme unit U = umol/min. mmol/min = kU,LOINC
mmol/mmol,millimole per millimole,Clinical,mmol per mmol; millimoles per millimole,SRto,,LOINC
mmol/mol,millimole per mole,Clinical,mmol per mol; millimoles per mole,SRto,,LOINC
mmol/s/L,millimole per second per liter,Clinical,mmol/sec/L; mmol per s per L; per sec; millimoles per seconds per liter; litre,CCnc ,,LOINC
mo,month,Clinical,months; duration,Time,based on Julian calendar which has an average of 30.435 days per month (this unit is used in astronomy but not in everyday life - see mo_g),UCUM
mo_g,mean Gregorian month,Clinical,months; month-gregorian; mo-gregorian,Time,has an average 30.436875 days per month and is from the most internationally used civil calendar.,UCUM
mo_j,mean Julian month,Clinical,mo-julian; mo Julian; months,Time,has an average of 30.435 days per month,UCUM
mo_s,synodal month,Nonclinical,Moon; synodic month; lunar month; mo-s; mo s; months; moons,Time,"has an average of 29.53 days per month, unit used in astronomy",UCUM
mol,mole,Clinical,moles,Sub,Measure the number of molecules ,UCUM
mol/kg,mole per kilogram,Clinical,mol per kg; moles; mols,SCnt,unit for tests related to stool,LOINC
mol/kg/s,mole per kilogram per second,Clinical,mol/kg/sec; mol per kg per sec; moles per kilograms per second; mols,CCnt,unit of catalytic activity (mol/s) per mass (kg),LOINC
mol/L,mole per liter,Clinical,mol per L; moles per liter; litre; moles; mols,SCnc,unit often used in tests measuring oxygen content,LOINC
mol/m3,mole per cubic meter,Clinical,mol/m^3; mol/cu. m; mol per m3; m^3; cu. meter; mols; moles; meters cubed; metre; mole per kiloliter; kilolitre; mol/kL,SCnc,,LOINC
mol/mL,mole per milliliter,Clinical,mol per mL; moles; millilitre; mols,SCnc,,LOINC
mol/mol,mole per mole,Clinical,mol per mol; moles per mol; mols,SRto,,LOINC
mol/s,mole per second,Clinical,mol per sec; moles per second; mols,SRat,,LOINC
mosm,milliosmole,Clinical,milliosmoles,Osmol,equal to 1/1000 of an osmole,LOINC
mosm/kg,milliosmole per kilogram,Clinical,mosm per kg; milliosmoles per kilogram,Osmol,,LOINC
mosm/L,milliosmole per liter,Clinical,mosm per liter; litre; milliosmoles,Osmol,,LOINC
mPa,millipascal,Clinical,millipascals,Pres,unit of pressure,LOINC
mPa.s,millipascal second,Clinical,mPa*s; millipoise; mP; dynamic viscosity,Visc,"base units for millipoise, a measurement of dynamic viscosity",LOINC
Ms,megasecond,Clinical,megaseconds,Time,,LOINC
ms,millisecond,Clinical,milliseconds; duration,Time,,LOINC
mU/g,milli enzyme unit per gram,Clinical,mU per gm; milli enzyme units per gram; enzyme activity; enzymatic activity per mass,CCnt,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 mU = 1 nmol/min,LOINC
mU/L,milli enzyme unit per liter,Clinical,mU per liter; litre; milli enzyme units enzymatic activity per volume; enzyme activity,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 mU = 1 nmol/min,LOINC
mU/mg,milli enzyme unit per milligram,Clinical,mU per mg; milli enzyme units per milligram,CCnt,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 mU = 1 nmol/min,LOINC
mU/mL,milli enzyme unit per milliliter,Clinical,mU per mL; milli enzyme units per milliliter; millilitre; enzymatic activity per volume; enzyme activity,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 mU = 1 nmol/min,LOINC
mU/mL/min,milli enzyme unit per milliliter per minute,Clinical,mU per mL per min; mU per milliliters per minute; millilitres; milli enzyme units; enzymatic activity; enzyme activity,CCncRat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 mU = 1 nmol/min,LOINC
mV,millivolt,Clinical,millivolts,Elpot,unit of electric potential (voltage),LOINC
Mx,Maxwell,Clinical,magnetix flux; Maxwells,,unit of magnetic flux,UCUM
N,newton,Clinical,Newtons,Force,unit of force with base units kg.m/s2,UCUM
N.cm,Newton centimeter,Clinical,N*cm; Ncm; N cm; Newton*centimeters; Newton* centimetres; torque; work,,"as a measurement of work, N.cm = 1/100 Joules;
note that N.m is the standard unit of measurement for torque (although dimensionally equivalent to Joule), and N.cm can also be thought of as a torqe unit",LOINC
N.s,Newton second,Clinical,Newton*seconds; N*s; N s; Ns; impulse; imp,,standard unit of impulse,LOINC
ng,nanogram,Clinical,nanograms,Mass,,LOINC
ng/(24.h),nanogram per 24 hour,Clinical,ng/24hrs; ng/24 hrs; nanograms per 24 hours,MRat,,LOINC
ng/(8.h),nanogram per 8 hour,Clinical,ng/8hrs; ng/8 hrs; nanograms per 8 hours,MRat,,LOINC
ng/10*6,nanogram per million,Clinical,ng/10^6; ng per 10*6; 10^6; nanograms,MNum,,LOINC
ng/d,nanogram per day,Clinical,ng/dy; ng per day; nanograms ,MRat,,LOINC
ng/dL,nanogram per deciliter,Clinical,ng per dL; nanograms per deciliter; decilitre,MCnc,,LOINC
ng/g,nanogram per gram,Clinical,ng/gm; ng per gm; nanograms per gram,MCnt,,LOINC
ng/h,nanogram per hour,Clinical,ng/hr; ng per hr; nanograms per hour,MRat,,LOINC
ng/kg,nanogram per kilogram,Clinical,ng per kg; nanograms per kilogram,MCnt,,LOINC
ng/kg/(8.h),nanogram per kilogram per 8 hour,Clinical,ng/(8.h.kg); ng/kg/8hrs; ng/kg/8 hrs; ng per kg per 8hrs; 8 hrs; nanograms per kilograms per 8 hours; shift,MRtoRat ,unit used to measure mass dose rate per patient body mass,LOINC
ng/kg/h,nanogram per kilogram per hour,Clinical,ng/(kg.h); ng/kg/hr; ng per kg per hr; nanograms per kilograms per hour,MRtoRat ,unit used to measure mass dose rate per patient body mass,LOINC
ng/kg/min,nanogram per kilogram per minute,Clinical,ng/(kg.min); ng per kg per min; nanograms per kilograms per minute,MRtoRat ,unit used to measure mass dose rate per patient body mass,LOINC
ng/L,nanogram per liter,Clinical,ng per L; nanograms per liter; litre,MCnc,,LOINC
ng/m2,nanogram per square meter,Clinical,ng/m^2; ng/sq. m; ng per m2; m^2; sq. meter; nanograms; meter squared; metre,ArMass,unit used to measure mass dose per patient body surface area,LOINC
ng/mg,nanogram per milligram,Clinical,ng per mg; nanograms,MCnt,,LOINC
